distance,e_pair,e_lj
1.834731,2.944365,5.674608
1.934731,-4.826110,-13.782681
2.034731,-9.806187,-15.738109
2.134731,-12.824062,-15.968786
2.234731,-14.469251,-15.401888
2.334731,-15.164339,-14.485803
2.434731,-15.213561,-13.442314
2.534731,-14.836373,-12.381958
2.634731,-14.190591,-11.358984
2.734731,-13.388739,-10.398512
2.834731,-12.509992,-9.510377
2.934731,-11.608853,-8.696400
3.034731,-10.721610,-7.954273
3.234731,-9.071347,-7.279679
3.434731,-7.644375,-6.112198
3.634731,-6.447470,-5.151898
3.834731,-5.455385,-4.360682
4.034731,-4.634761,-3.706629
4.234731,-3.954405,-3.163781
4.434731,-3.388314,-2.711289
4.634731,-2.915602,-2.332465
4.834731,-2.519328,-2.013949
5.034731,-2.185806,-1.745019
5.234731,-1.903772,-1.517041
5.434731,-1.664094,-1.323032
5.634731,-1.459361,-1.157320
5.834731,-1.283618,-1.015279
6.034731,-1.132144,-0.893119
6.234731,-1.001083,-0.787719
6.434731,-0.887331,-0.696501
6.634731,-0.788331,-0.617324
6.834731,-0.701952,-0.548408
7.034731,-0.626397,-0.488262
7.234731,-0.560163,-0.435634
7.434731,-0.501945,-0.389471
7.634731,-0.450663,-0.348883
7.834731,-0.405373,-0.313117
8.034731,-0.365291,-0.281529
