distance,e_int,e_lj
1.733539,-6.030193,-0.096809
1.833539,-20.074983,-21.738156
1.933539,-28.929226,-33.020542
2.033539,-34.124823,-38.223172
2.133539,-36.764571,-39.870361
2.233539,-37.643614,-39.468702
2.333539,-37.334922,-37.924725
2.533539,-34.682948,-33.382388
2.733539,-30.870346,-28.487019
2.933539,-26.904809,-24.007151
3.133539,-23.237612,-20.150857
3.333539,-20.023935,-16.917667
3.533539,-17.285602,-14.237117
3.733539,-14.981173,-12.023104
3.933539,-13.044068,-10.194168
4.133539,-11.413456,-8.679912
4.333539,-10.034453,-7.421910
4.533539,-8.861783,-6.372606
4.733539,-7.858892,-5.493628
4.933539,-6.996586,-4.754116
5.133539,-6.251421,-4.129248
5.333539,-5.604443,-3.599021
5.533539,-5.040219,-3.147266
5.733539,-4.546079,-2.760860
5.933539,-4.111603,-2.429111
6.133539,-3.728128,-2.143270
6.333539,-3.388446,-1.896145
6.533539,-3.086479,-1.681799
6.733539,-2.807057,-1.495310
6.933539,-2.568322,-1.332581
